USA_223;Stiedeholtn;;;;;;;;;;;;;x
USA_231;Wildsteenkust;;;;;;;;;;;;;x
USA_218;Appalachien;;;;;;;;;;;;;x
USA_211;Karlien;;;;;;;;;;;;;x
AFG_1215;Sistan;;;;;;;;;;;;;x
AFG_3288;Hazarestan;;;;;;;;;;;;;x
AFG_1212;Sarq-e Khorasan;;;;;;;;;;;;;x
AFG_1217;Kabulestan;;;;;;;;;;;;;x
KHI_1594;Tadjikestan;;;;;;;;;;;;;x
KHI_1202;Dareh-e Ferqana;;;;;;;;;;;;;x
KHI_1191;Khwarazm;;;;;;;;;;;;;x
PER_1145;Qarb-e Baluchestan;;;;;;;;;;;;;x
KAL_1221;Sharq-e Baluchestan;;;;;;;;;;;;;x
PER_1140;Kerman-Farsestan;;;;;;;;;;;;;x
PER_1136;Hormuzgan;;;;;;;;;;;;;x
KHI_1594;Tajikestan;;;;;;;;;;;;;x
RUS_1205;Transcaspia;;;;;;;;;;;;;x
PER_1148;Qarb-e Khorasan;;;;;;;;;;;;;x
PER_1117;Kordestan;;;;;;;;;;;;;x
PER_1120;Lorestan;;;;;;;;;;;;;x
RUS_1102;Shirvan;;;;;;;;;;;;;x
KHI_1198;Bukhara;;;;;;;;;;;;;x
SWI_606;Mittelland;;;;;;;;;;;;;x
SWI_603;Churrätien-Zürichgau;;;;;;;;;;;;;x
SWI_607;Transjurana;;;;;;;;;;;;;x
BAV_613;Ostmark;;;;;;;;;;;;;x
AUS_612;Tirol;;;;;;;;;;;;;x
FRA_409;Elsass-Pfalz;;;;;;;;;;;;;x
LUX_397;Lützelburg;;;;;;;;;;;;;x
BEL_387;Brabant;;;;;;;;;;;;;x
FRA_400;Flandre;;;;;;;;;;;;;x
NET_382;Geldern-Westfalen;;;;;;;;;;;;;x
PRU_580;Westfalen;;;;;;;;;;;;;x
HAN_540;Bremen-Oldenburg;;;;;;;;;;;;;x
PRU_554;Westthüringen;;;;;;;;;;;;;x
THU_556;Ostthüringen;;;;;;;;;;;;;x
SAX_558;Krušné Hory;;;;;;;;;;;;;x
BOH_684;Horní Slezsko;;;;;;;;;;;;;x
PRU_682;Dolní Slezsko;;;;;;;;;;;;;x
BOH_631;Morava;;;;;;;;;;;;;x
AUS_625;Cechy;;;;;;;;;;;;;x
